date,name,predicted open price,predicted high price,predicted low price,predicted close price,predicted volume
2-8-2018,AAL,51.05,52.17,51.77,52.02,6228061
2-8-2018,AAPL,162.065,163.29,158.938,158.63,51877714
2-8-2018,AAP,113.56,114.76,110.84,110.7,3427686
2-8-2018,ABBV,110.17,116.05,111.67,114.86,10229773
2-8-2018,ABC,91.77,95.29,91.17,93.75,3207666
2-8-2018,ABT,59.59,59.27,59.31,57.92,6250189
2-8-2018,ACN,154.05,159.54,153.37,154.84,2614465
2-8-2018,ADBE,193.68,198.04,191.33,194.29,2595801
2-8-2018,ADI,87.29,88.41,85.65,85.13,4692782
2-8-2018,ADM,42.59,43.16,42.46,42.9,3441138
2-8-2018,ADP,111.99,115.74,111.89,113.96,2443462
2-8-2018,ADSK,112.12,113.6,109.92,110.84,1194077
2-8-2018,ADS,238.04,250.38,235.7,247.71,550529
2-8-2018,AEE,53.53,54.04,52.4,52.41,2611767
2-8-2018,AEP,65.66,65.28,64.23,63.42,6205470
2-8-2018,AES,10.52,10.46,10.385,10.77,11869547
2-8-2018,AET,180.75,185.37,180.15,181.3,2505077
2-8-2018,AFL,87.15,87.7099,86.8,86.39,1668359
2-8-2018,AGN,165.68,177.68,170.62,171.63,3563854
2-8-2018,AIG,61.03,61.64,59.98,60.77,7670587
2-8-2018,AIV,38.72,40.17,39.85,39.31,197315
2-8-2018,AIZ,89.87,95.43,88.41,88.39,290331
2-8-2018,AJG,65.26,67.42,65.96,66.76,884258
2-8-2018,AKAM,68.01,68.57,64.04,64.14,9816545
2-8-2018,ALB,107.13,109.57,107.31,107.76,1548705
2-8-2018,ALGN,242.68,243.4,234.33,234.54,1287043
2-8-2018,ALK,63.68,65.03,63.41,63.58,1680299
2-8-2018,ALLE,79.61,82.04,77.64,80.18,1848495
2-8-2018,ALL,95.58,98.235,97.4951,96.61,2786731
2-8-2018,ALXN,117.78,119.94,112.59,120.07,2444889
2-8-2018,AMAT,51.3,49.26,50.58,48.47,15788396
2-8-2018,AMD,11.89,11.81,12.52,11.47,55042569
2-8-2018,AME,74.94,74.75,74.44,74.08,1238425
2-8-2018,AMGN,177.19,179.19,176.37,175.63,8746268
2-8-2018,AMG,189.27,191.69,186.85,189.27,618678
2-8-2018,AMP,159.84,165.06,160.33,162.69,1346526
2-8-2018,AMT,141.73,141.98,138.74,140.86,1606912
2-8-2018,AMZN,1447.41,1468.58,1402.53,1409.63,6639676
2-8-2018,ANDV,104.55,105.27,99.77,101.19,2532001
2-8-2018,ANSS,156.65,158.01,154.91,154.46,502059
2-8-2018,ANTM,239.03,240.43,233.17,239.04,3670182
2-8-2018,AON,139.09,143.25,139.6,140.36,2518131
2-8-2018,AOS,62.56,64.5,62.62,63.3,1266305
2-8-2018,APA,40.49,41.5322,39.54,39.48,5926635
2-8-2018,APC,61.13,61.09,58.79,59.1,12840221
2-8-2018,APD,160.08,161.81,156.51,158.43,1603801
2-8-2018,APH,88.65,91.48,87.06,90.64,982580
2-8-2018,APTV,93.85,96.285,92.9495,93.53,1940765
2-8-2018,ARE,118.09,120.67,118.24,119.89,1084609
2-8-2018,ARNC,27.56,26.12,24.87,24.98,5394397
2-8-2018,ATVI,72.09,70.38,69.33,68.4,17658942
2-8-2018,AVB,158.78,165.18,161.26,161.25,1325543
2-8-2018,AVGO,239,243.04,236.95,237.71,3375136
2-8-2018,AVY,115.16,117.17,114.45,114.39,878094
2-8-2018,AWK,79.27,80.6,77.18,77,1461521
2-8-2018,AXP,94.73,95.06,96.56,93.83,3810815
2-8-2018,AYI,149.31,152.01,149.61,149.23,829651
2-8-2018,AZO,741.53,750.76,722.78,724.56,385709
2-8-2018,A,67.89,68.935,68.015,68.13,5404869
2-8-2018,BAC,31.53,31.95,31.38,31.41,111131373
2-8-2018,BAX,67.14,67.22,67.36,65.73,4164473
2-8-2018,BA,340.36,352.72,340.06,346.81,8987057
2-8-2018,BBT,54.31,54.95,54.43,54.06,3720473
2-8-2018,BBY,70.14,71.58,70.61,72.01,3874457
2-8-2018,BDX,229.94,231.39,224.01,220.95,2685248
2-8-2018,BEN,39.9,41.27,41.24,38.72,6461548
2-8-2018,BF.B,64.92,66.92,64.94,65.65,862390
2-8-2018,BHF,58,60.15,58.14,59.46,632734
2-8-2018,BHGE,27.89,30.62,28.67,28.33,4396697
2-8-2018,BIIB,344.97,335.69,325.99,328.34,1297128
2-8-2018,BK,56.04,56.295,56.25,54.82,6349437
2-8-2018,BLK,537.67,550.12,530.93,535.15,1004576
2-8-2018,BLL,39.98,40.53,39.56,39.7,9528554
2-8-2018,BMY,59.76,62.65,60.4,63.53,11241033
2-8-2018,BRK.B,201.94,205.35,200.89,199.17,4577241
2-8-2018,BSX,26.62,26.75,26.71,26.19,7755935
2-8-2018,BWA,53.96,56.29,53.12,55.77,2103769
2-8-2018,BXP,118.71,117.095,114.68,114.91,598606
2-8-2018,CAG,36.74,36.86,36.22,35.48,2881186
2-8-2018,CAH,64.18,65.96,64.41,60.58,3373093
2-8-2018,CAT,155.22,158.08,155.41,155.68,6006301
2-8-2018,CA,33.65,34.43,33.3,33.81,3579775
2-8-2018,CBG,42.83,44.69,42.15,42.66,3289400
2-8-2018,CBOE,110.71,115.53,111.51,114.635,3963261
2-8-2018,CBS,52.14,54.02,54.35,53.53,5010538
